,Date,Portfolio_Value,Capital,Position_Value,Shares,Peak,Drawdown
0,2022-10-27,20000.0,20000.0,0.0,0,20000.0,0.0
1,2022-10-28,20000.0,20000.0,0.0,0,20000.0,0.0
2,2022-10-31,20000.0,20000.0,0.0,0,20000.0,0.0
3,2022-11-01,20000.0,20000.0,0.0,0,20000.0,0.0
4,2022-11-02,20000.0,20000.0,0.0,0,20000.0,0.0
5,2022-11-03,20000.0,20000.0,0.0,0,20000.0,0.0
6,2022-11-04,20000.0,20000.0,0.0,0,20000.0,0.0
7,2022-11-07,20000.0,20000.0,0.0,0,20000.0,0.0
8,2022-11-08,20000.0,20000.0,0.0,0,20000.0,0.0
9,2022-11-09,20000.0,20000.0,0.0,0,20000.0,0.0
10,2022-11-10,20000.0,20000.0,0.0,0,20000.0,0.0
11,2022-11-11,20000.0,20000.0,0.0,0,20000.0,0.0
12,2022-11-14,20000.0,20000.0,0.0,0,20000.0,0.0
13,2022-11-15,20000.0,20000.0,0.0,0,20000.0,0.0
14,2022-11-16,20000.0,20000.0,0.0,0,20000.0,0.0
15,2022-11-17,20000.0,20000.0,0.0,0,20000.0,0.0
16,2022-11-18,20000.0,20000.0,0.0,0,20000.0,0.0
17,2022-11-21,20000.0,20000.0,0.0,0,20000.0,0.0
18,2022-11-22,20000.0,20000.0,0.0,0,20000.0,0.0
19,2022-11-23,20000.0,20000.0,0.0,0,20000.0,0.0
20,2022-11-24,20000.0,20000.0,0.0,0,20000.0,0.0
21,2022-11-25,20000.0,20000.0,0.0,0,20000.0,0.0
22,2022-11-28,20000.0,20000.0,0.0,0,20000.0,0.0
23,2022-11-29,20000.0,20000.0,0.0,0,20000.0,0.0
24,2022-11-30,20000.0,20000.0,0.0,0,20000.0,0.0
25,2022-12-01,20000.0,20000.0,0.0,0,20000.0,0.0
26,2022-12-02,20000.0,20000.0,0.0,0,20000.0,0.0
27,2022-12-05,20007.000007629395,19452.000007629395,555.0,10,20007.000007629395,0.0
28,2022-12-06,20007.000007629395,20007.000007629395,0.0,0,20007.000007629395,0.0
29,2022-12-07,20007.000007629395,20007.000007629395,0.0,0,20007.000007629395,0.0
30,2022-12-08,20007.000007629395,20007.000007629395,0.0,0,20007.000007629395,0.0
31,2022-12-09,20007.000007629395,20007.000007629395,0.0,0,20007.000007629395,0.0
32,2022-12-12,20007.000007629395,20007.000007629395,0.0,0,20007.000007629395,0.0
33,2022-12-13,20007.000007629395,20007.000007629395,0.0,0,20007.000007629395,0.0
34,2022-12-14,20010.0,19437.999992370605,572.0000076293945,10,20010.0,0.0
35,2022-12-15,20010.0,20010.0,0.0,0,20010.0,0.0
36,2022-12-16,20010.0,20010.0,0.0,0,20010.0,0.0
37,2022-12-19,20024.850025177002,19409.950008392334,614.900016784668,11,20024.850025177002,0.0
38,2022-12-20,20024.850025177002,20024.850025177002,0.0,0,20024.850025177002,0.0
39,2022-12-21,20021.849994659424,19468.350009918213,553.4999847412109,10,20024.850025177002,-0.014981538008056105
40,2022-12-22,20021.849994659424,20021.849994659424,0.0,0,20024.850025177002,-0.014981538008056105
41,2022-12-23,20021.849994659424,20021.849994659424,0.0,0,20024.850025177002,-0.014981538008056105
42,2022-12-28,20033.350009918213,19466.35000228882,567.0000076293945,10,20033.350009918213,0.0
43,2022-12-29,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
44,2022-12-30,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
45,2023-01-03,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
46,2023-01-04,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
47,2023-01-05,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
48,2023-01-06,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
49,2023-01-09,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
50,2023-01-10,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
51,2023-01-11,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
52,2023-01-12,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
53,2023-01-13,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
54,2023-01-16,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
55,2023-01-17,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
56,2023-01-18,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
57,2023-01-19,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
58,2023-01-20,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
59,2023-01-26,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
60,2023-01-27,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
61,2023-01-30,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
62,2023-01-31,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
63,2023-02-01,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
64,2023-02-02,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
65,2023-02-03,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
66,2023-02-06,20033.350009918213,20033.350009918213,0.0,0,20033.350009918213,0.0
67,2023-02-07,20031.849994659424,19455.850009918213,575.9999847412109,10,20033.350009918213,-0.007487590732685383
68,2023-02-08,20031.849994659424,20031.849994659424,0.0,0,20033.350009918213,-0.007487590732685383
69,2023-02-09,20031.35000228882,19453.85000228882,577.5,10,20033.350009918213,-0.009983390837799755
70,2023-02-10,20031.35000228882,20031.35000228882,0.0,0,20033.350009918213,-0.009983390837799755
71,2023-02-13,20028.85000228882,19455.850009918213,572.9999923706055,10,20033.350009918213,-0.02246258178071388
72,2023-02-14,20028.85000228882,20028.85000228882,0.0,0,20033.350009918213,-0.02246258178071388
73,2023-02-15,20022.849979400635,19451.849994659424,570.9999847412109,10,20033.350009918213,-0.05241275429411315
74,2023-02-16,20022.849979400635,20022.849979400635,0.0,0,20033.350009918213,-0.05241275429411315
75,2023-02-17,20017.849979400635,19455.84997177124,562.0000076293945,10,20033.350009918213,-0.0773711361799414
76,2023-02-20,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
77,2023-02-21,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
78,2023-02-22,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
79,2023-02-23,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
80,2023-02-24,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
81,2023-02-27,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
82,2023-02-28,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
83,2023-03-01,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
84,2023-03-02,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
85,2023-03-03,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
86,2023-03-06,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
87,2023-03-07,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
88,2023-03-08,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
89,2023-03-09,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
90,2023-03-10,20017.849979400635,20017.849979400635,0.0,0,20033.350009918213,-0.0773711361799414
91,2023-03-13,20020.84997177124,19461.349964141846,559.5000076293945,10,20033.350009918213,-0.062396145131912904
92,2023-03-14,20020.84997177124,20020.84997177124,0.0,0,20033.350009918213,-0.062396145131912904
93,2023-03-15,20020.84997177124,20020.84997177124,0.0,0,20033.350009918213,-0.062396145131912904
94,2023-03-16,20020.84997177124,20020.84997177124,0.0,0,20033.350009918213,-0.062396145131912904
95,2023-03-17,20020.84997177124,20020.84997177124,0.0,0,20033.350009918213,-0.062396145131912904
96,2023-03-20,20020.84997177124,20020.84997177124,0.0,0,20033.350009918213,-0.062396145131912904
97,2023-03-21,20020.84997177124,20020.84997177124,0.0,0,20033.350009918213,-0.062396145131912904
98,2023-03-22,20020.84997177124,20020.84997177124,0.0,0,20033.350009918213,-0.062396145131912904
99,2023-03-23,20020.84997177124,20020.84997177124,0.0,0,20033.350009918213,-0.062396145131912904
100,2023-03-24,20020.84997177124,20020.84997177124,0.0,0,20033.350009918213,-0.062396145131912904
101,2023-03-27,20016.84995651245,19456.84995651245,560.0,10,20033.350009918213,-0.08236292680751242
102,2023-03-28,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
103,2023-03-29,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
104,2023-03-30,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
105,2023-03-31,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
106,2023-04-03,20016.84995651245,19449.849948883057,567.0000076293945,10,20033.350009918213,-0.08236292680751242
107,2023-04-04,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
108,2023-04-06,20016.84995651245,19446.349964141846,570.4999923706055,10,20033.350009918213,-0.08236292680751242
109,2023-04-11,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
110,2023-04-12,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
111,2023-04-13,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
112,2023-04-14,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
113,2023-04-17,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
114,2023-04-18,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
115,2023-04-19,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
116,2023-04-20,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
117,2023-04-21,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
118,2023-04-24,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
119,2023-04-25,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
120,2023-04-26,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
121,2023-04-27,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
122,2023-04-28,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
123,2023-05-02,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
124,2023-05-03,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
125,2023-05-04,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
126,2023-05-05,20016.84995651245,20016.84995651245,0.0,0,20033.350009918213,-0.08236292680751242
127,2023-05-08,20030.349979400635,19423.34997177124,607.0000076293945,10,20033.350009918213,-0.014975181465370767
128,2023-05-09,20030.349979400635,20030.349979400635,0.0,0,20033.350009918213,-0.014975181465370767
129,2023-05-10,20027.19995880127,19484.04997253418,543.1499862670898,9,20033.350009918213,-0.030699064878807393
130,2023-05-11,20027.19995880127,20027.19995880127,0.0,0,20033.350009918213,-0.030699064878807393
131,2023-05-12,20015.94995880127,19473.69995880127,542.25,9,20033.350009918213,-0.08685542412192096
132,2023-05-15,20015.94995880127,20015.94995880127,0.0,0,20033.350009918213,-0.08685542412192096
133,2023-05-16,20014.59994506836,19467.399951934814,547.1999931335449,9,20033.350009918213,-0.09359425578133782
134,2023-05-17,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
135,2023-05-18,20009.59994506836,19418.59996032715,590.9999847412109,10,20033.350009918213,-0.11855263766716606
136,2023-05-19,20009.59994506836,20009.59994506836,0.0,0,20033.350009918213,-0.11855263766716606
137,2023-05-22,20009.099952697754,19420.099937438965,589.0000152587891,10,20033.350009918213,-0.12104843777228044
138,2023-05-23,20009.099952697754,20009.099952697754,0.0,0,20033.350009918213,-0.12104843777228044
139,2023-05-24,20014.59994506836,19436.599952697754,577.9999923706055,10,20033.350009918213,-0.09359425578133782
140,2023-05-25,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
141,2023-05-29,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
142,2023-05-30,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
143,2023-05-31,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
144,2023-06-01,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
145,2023-06-02,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
146,2023-06-05,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
147,2023-06-06,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
148,2023-06-07,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
149,2023-06-08,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
150,2023-06-09,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
151,2023-06-12,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
152,2023-06-13,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
153,2023-06-14,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
154,2023-06-15,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
155,2023-06-16,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
156,2023-06-19,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
157,2023-06-20,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
158,2023-06-21,20014.59994506836,20014.59994506836,0.0,0,20033.350009918213,-0.09359425578133782
159,2023-06-23,20010.99993133545,19457.049938201904,553.9499931335449,9,20033.350009918213,-0.11156435928937737
