,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2022-12-02,BUY,54.79999923706055,10,19452.000007629395,10,"Aggressive Entry: RSI_oversold, ML_bullish",,
1,2022-12-05,SELL,55.5,10,20007.000007629395,0,Trailing Stop,7.000007629394531,1.2773736727829212
2,2022-12-13,BUY,56.900001525878906,10,19437.999992370605,10,"Aggressive Entry: MACD, ML_bullish",,
3,2022-12-14,SELL,57.20000076293945,10,20010.0,0,ML Bearish Signal,2.9999923706054688,0.5272394183049417
4,2022-12-16,BUY,54.54999923706055,11,19409.950008392334,11,"Aggressive Entry: RSI_oversold, ML_bullish",,
5,2022-12-19,SELL,55.900001525878906,11,20024.850025177002,0,Trailing Stop,14.850025177001953,2.474797997616076
6,2022-12-20,BUY,55.650001525878906,10,19468.350009918213,10,"Aggressive Entry: BB_oversold, ML_bullish",,
7,2022-12-21,SELL,55.349998474121094,10,20021.849994659424,0,Trailing Stop,-3.000030517578125,-0.5390890270116204
8,2022-12-23,BUY,55.54999923706055,10,19466.35000228882,10,"Aggressive Entry: BB_oversold, ML_bullish",,
9,2022-12-28,SELL,56.70000076293945,10,20033.350009918213,0,ML Bearish Signal,11.500015258789062,2.0702097959916355
10,2023-02-06,BUY,57.75,10,19455.850009918213,10,"Aggressive Entry: BB_oversold, ML_bullish",,
11,2023-02-07,SELL,57.599998474121094,10,20031.849994659424,0,Trailing Stop,-1.5000152587890625,-0.259742901954816
12,2023-02-08,BUY,57.79999923706055,10,19453.85000228882,10,"Aggressive Entry: BB_oversold, ML_bullish",,
13,2023-02-09,SELL,57.75,10,20031.35000228882,0,Trailing Stop,-0.49999237060546875,-0.08650387148878727
14,2023-02-10,BUY,57.54999923706055,10,19455.850009918213,10,"Aggressive Entry: BB_oversold, ML_bullish",,
15,2023-02-13,SELL,57.29999923706055,10,20028.85000228882,0,Trailing Stop,-2.5,-0.4344048710933903
16,2023-02-14,BUY,57.70000076293945,10,19451.849994659424,10,"Aggressive Entry: BB_oversold, ML_bullish",,
17,2023-02-15,SELL,57.099998474121094,10,20022.849979400635,0,Trailing Stop,-6.000022888183594,-1.0398653048263722
18,2023-02-16,BUY,56.70000076293945,10,19455.84997177124,10,"Aggressive Entry: RSI_oversold, ML_bullish",,
19,2023-02-17,SELL,56.20000076293945,10,20017.849979400635,0,Trailing Stop,-5.0,-0.8818342033018324
20,2023-03-10,BUY,55.650001525878906,10,19461.349964141846,10,"Aggressive Entry: RSI_oversold, ML_bullish",,
21,2023-03-13,SELL,55.95000076293945,10,20020.84997177124,0,Trailing Stop,2.9999923706054688,0.5390821722098935
22,2023-03-24,BUY,56.400001525878906,10,19456.84995651245,10,"Aggressive Entry: BB_oversold, ML_bullish",,
23,2023-03-27,SELL,56.0,10,20016.84995651245,0,Trailing Stop,-4.0000152587890625,-0.7092225444273564
24,2023-03-31,BUY,56.70000076293945,10,19449.849948883057,10,"Aggressive Entry: BB_oversold, ML_bullish",,
25,2023-04-03,SELL,56.70000076293945,10,20016.84995651245,0,Trailing Stop,0.0,0.0
26,2023-04-04,BUY,57.04999923706055,10,19446.349964141846,10,"Aggressive Entry: MACD, ML_bullish",,
27,2023-04-06,SELL,57.04999923706055,10,20016.84995651245,0,ML Bearish Signal,0.0,0.0
28,2023-05-05,BUY,59.349998474121094,10,19423.34997177124,10,"Aggressive Entry: Trend, ML_bullish",,
29,2023-05-08,SELL,60.70000076293945,10,20030.349979400635,0,Take Profit (RSI>70),13.500022888183594,2.2746458694636913
30,2023-05-09,BUY,60.70000076293945,9,19484.04997253418,9,"Aggressive Entry: Trend, ML_bullish",,
31,2023-05-10,SELL,60.349998474121094,9,20027.19995880127,0,Take Profit (RSI>70),-3.1500205993652344,-0.5766100237548172
32,2023-05-11,BUY,61.5,9,19473.69995880127,9,"Aggressive Entry: Trend, ML_bullish",,
33,2023-05-12,SELL,60.25,9,20015.94995880127,0,ML Bearish Signal,-11.25,-2.0325203252032518
34,2023-05-15,BUY,60.95000076293945,9,19467.399951934814,9,"Aggressive Entry: Trend, ML_bullish",,
35,2023-05-16,SELL,60.79999923706055,9,20014.59994506836,0,ML Bearish Signal,-1.3500137329101562,-0.24610586382488517
36,2023-05-17,BUY,59.599998474121094,10,19418.59996032715,10,"Aggressive Entry: Trend, ML_bullish",,
37,2023-05-18,SELL,59.099998474121094,10,20009.59994506836,0,Trailing Stop,-5.0,-0.8389261959748286
38,2023-05-19,BUY,58.95000076293945,10,19420.099937438965,10,"Aggressive Entry: Trend, ML_bullish",,
39,2023-05-22,SELL,58.900001525878906,10,20009.099952697754,0,Trailing Stop,-0.49999237060546875,-0.08481634675733588
40,2023-05-23,BUY,57.25,10,19436.599952697754,10,"Aggressive Entry: RSI_oversold, ML_bullish",,
41,2023-05-24,SELL,57.79999923706055,10,20014.59994506836,0,Trailing Stop,5.499992370605469,0.9606973573109989
42,2023-06-21,BUY,61.95000076293945,9,19457.049938201904,9,"Aggressive Entry: Trend, ML_bullish",,
43,2023-06-23,SELL,61.54999923706055,9,20010.99993133545,0,ML Bearish Signal,-3.6000137329101562,-0.6456844567437042
44,2023-06-26,BUY,60.099998474121094,9,19470.09994506836,9,"Aggressive Entry: Trend, ML_bullish",,
45,2023-06-27,SELL,60.400001525878906,9,20013.69995880127,0,ML Bearish Signal,2.7000274658203125,0.4991731437181201
46,2023-06-28,BUY,61.20000076293945,9,19462.899951934814,9,"Aggressive Entry: Trend, ML_bullish",,
47,2023-06-29,SELL,60.849998474121094,9,20010.549938201904,0,ML Bearish Signal,-3.1500205993652344,-0.5718991576063971
48,2023-06-30,BUY,60.900001525878906,9,19462.449924468994,9,"Aggressive Entry: Trend, ML_bullish",,
49,2023-07-03,SELL,61.25,9,20013.699924468994,0,ML Bearish Signal,3.1499862670898438,0.5747101237302351
50,2023-07-04,BUY,61.099998474121094,9,19463.799938201904,9,"Aggressive Entry: Trend, ML_bullish",,
51,2023-07-05,SELL,60.29999923706055,9,20006.49993133545,0,ML Bearish Signal,-7.199993133544922,-1.3093277529284826
52,2023-07-06,BUY,59.849998474121094,10,19407.99994659424,10,"Aggressive Entry: Trend, ML_bullish",,
53,2023-07-07,SELL,59.20000076293945,10,19999.999954223633,0,Trailing Stop,-6.499977111816406,-1.0860446579003626
54,2023-07-11,BUY,59.45000076293945,10,19405.49994659424,10,"Aggressive Entry: Trend, ML_bullish",,
55,2023-07-12,SELL,59.75,10,20002.99994659424,0,Trailing Stop,2.9999923706054688,0.5046244461069266
56,2023-07-13,BUY,61.0,9,19453.99994659424,9,"Aggressive Entry: Trend, ML_bullish",,
57,2023-07-14,SELL,61.25,9,20005.24994659424,0,ML Bearish Signal,2.25,0.4098360655737705
58,2023-07-18,BUY,60.900001525878906,9,19457.149932861328,9,"Aggressive Entry: Trend, MACD, ML_bullish",,
59,2023-07-19,SELL,60.849998474121094,9,20004.799919128418,0,ML Bearish Signal,-0.4500274658203125,-0.08210681527908362
60,2023-07-20,BUY,61.29999923706055,9,19453.099925994873,9,"Aggressive Entry: Trend, ML_bullish",,
61,2023-07-21,SELL,61.849998474121094,9,20009.749912261963,0,ML Bearish Signal,4.949993133544922,0.8972255202379027
62,2023-07-24,BUY,61.400001525878906,9,19457.149898529053,9,"Aggressive Entry: Trend, ML_bullish",,
63,2023-07-25,SELL,61.5,9,20010.649898529053,0,ML Bearish Signal,0.8999862670898438,0.16286396031919695
64,2023-07-26,BUY,62.599998474121094,9,19447.249912261963,9,"Aggressive Entry: Trend, ML_bullish",,
65,2023-07-27,SELL,62.75,9,20011.999912261963,0,ML Bearish Signal,1.3500137329101562,0.23961905676549983
66,2023-07-28,BUY,63.5,9,19440.499912261963,9,"Aggressive Entry: Trend, ML_bullish",,
67,2023-07-31,SELL,63.45000076293945,9,20011.549919128418,0,ML Bearish Signal,-0.4499931335449219,-0.07873895600086121
68,2023-08-01,BUY,63.95000076293945,9,19435.999912261963,9,"Aggressive Entry: Trend, ML_bullish",,
69,2023-08-02,SELL,62.349998474121094,9,19997.149898529053,0,ML Bearish Signal,-14.400020599365234,-2.5019582012977843
70,2023-08-03,BUY,62.599998474121094,9,19433.749912261963,9,"Aggressive Entry: Trend, ML_bullish",,
71,2023-08-04,SELL,62.0,9,19991.749912261963,0,MACD Bearish Crossover,-5.399986267089844,-0.9584640395305022
72,2023-08-07,BUY,62.75,9,19426.999912261963,9,"Aggressive Entry: Trend, ML_bullish",,
