Strategy,Ticker,Initial_Capital,Final_Value,Return_pct,Max_Drawdown_pct,Total_Trades,Win_Rate
Conservative,0288.HK,20000.0,19980.139988422394,-0.099300057888031,-0.20705008745193482,22,22.727272727272727
Aggressive,0288.HK,20000.0,20141.070064783096,0.7053503239154816,-0.6774334552037149,113,46.017699115044245
