Strategy,Ticker,Initial_Capital,Final_Value,Return_pct,Max_Drawdown_pct,Total_Trades,Win_Rate
Conservative,2318.HK,20000.0,20000.09995651245,0.0004997825622558593,-0.10717159610245547,10,30.0
Aggressive,2318.HK,20000.0,19831.999835968018,-0.8400008201599122,-1.4699205834757467,99,34.34343434343434
