Strategy,Ticker,Initial_Capital,Final_Value,Return_pct,Max_Drawdown_pct,Total_Trades,Win_Rate
Conservative,0002.HK,20000.0,19996.49998474121,-0.017500076293945312,-0.03299797437538084,19,26.31578947368421
Aggressive,0002.HK,20000.0,19862.249855041504,-0.6887507247924805,-0.9401827521492807,185,41.08108108108108
