Strategy,Ticker,Initial_Capital,Final_Value,Return_pct,Max_Drawdown_pct,Total_Trades,Win_Rate
Conservative,0005.HK,100000,100000.0,0.0,0.0,0,0.0
Aggressive,0005.HK,100000,100097.24901199341,0.0972490119934082,-0.04784530639648437,3,66.66666666666666
