Rank,Sharpe_Ratio,Total_Return_%,Final_Value,Max_Drawdown_%,Std_Dev_%,Volatility_%,Portfolio
1,2.093216936127528,11.202352525711067,22240.470505142213,-4.9727393139217595,0.2769391506755904,4.396272725910345,20.0% 0288.HK (Aggressive) + 80.0% 0005.HK (Conservative) + 0.0% 2318.HK (Conservative)
2,2.077384660397132,13.560778372764599,22712.15567455292,-5.018420649772775,0.3505660738185995,5.565063896521954,30.0% 0288.HK (Aggressive) + 70.0% 0005.HK (Conservative) + 0.0% 2318.HK (Conservative)
3,2.0188514442770855,15.91920421981813,23183.840843963626,-5.611778338588734,0.4343199448515497,6.89461538107493,40.0% 0288.HK (Aggressive) + 60.0% 0005.HK (Conservative) + 0.0% 2318.HK (Conservative)
4,1.9642151974451458,18.27763006687164,23655.52601337433,-6.985650443352694,0.5220376631904243,8.287090990866963,50.0% 0288.HK (Aggressive) + 50.0% 0005.HK (Conservative) + 0.0% 2318.HK (Conservative)
5,1.921357604052803,20.63605591392519,24127.21118278504,-8.348181540366738,0.611006078689664,9.699420802569676,60.0% 0288.HK (Aggressive) + 40.0% 0005.HK (Conservative) + 0.0% 2318.HK (Conservative)
6,1.9152309048943548,13.440027840614293,22688.00556812286,-5.234379765337007,0.3762752646812212,5.973184649109101,30.0% 0288.HK (Aggressive) + 60.0% 0005.HK (Conservative) + 10.0% 2318.HK (Conservative)
7,1.9048909135659164,11.08160199356078,22216.320398712156,-4.396573933950907,0.3003254138360899,4.767518144417104,20.0% 0288.HK (Aggressive) + 70.0% 0005.HK (Conservative) + 10.0% 2318.HK (Conservative)
8,1.8982796029155722,8.843926678657553,21768.78533573151,-4.924909819037408,0.22711451783671033,3.6053311999696724,10.0% 0288.HK (Aggressive) + 90.0% 0005.HK (Conservative) + 0.0% 2318.HK (Conservative)
9,1.8894373484694391,22.994481760978704,24598.89635219574,-9.699511478653253,0.6999586624132773,11.111499292625675,70.0% 0288.HK (Aggressive) + 30.0% 0005.HK (Conservative) + 0.0% 2318.HK (Conservative)
10,1.8871096993226304,15.79845368766786,23159.690737533572,-6.605284667563299,0.46060961888557483,7.3119510183328265,40.0% 0288.HK (Aggressive) + 50.0% 0005.HK (Conservative) + 10.0% 2318.HK (Conservative)
11,1.8662284026360134,25.35290760803224,25070.581521606447,-11.039777817292613,0.7882716289206357,12.513424174150755,80.0% 0288.HK (Aggressive) + 20.0% 0005.HK (Conservative) + 0.0% 2318.HK (Conservative)
12,1.8564258784214667,18.156879534721373,23631.375906944275,-7.964910184141419,0.548251214856576,8.703218222997243,50.0% 0288.HK (Aggressive) + 40.0% 0005.HK (Conservative) + 10.0% 2318.HK (Conservative)
13,1.8497099267285582,27.711333455085768,25542.266691017154,-12.369115872102649,0.8756301424428787,13.900197584255524,90.0% 0288.HK (Aggressive) + 10.0% 0005.HK (Conservative) + 0.0% 2318.HK (Conservative)
14,1.8383074410571558,30.069759302139282,26013.951860427856,-13.687658761180737,0.9618786231632537,15.269349769915092,100.0% 0288.HK (Aggressive) + 0.0% 0005.HK (Conservative) + 0.0% 2318.HK (Conservative)
15,1.831323777934057,20.515305381774887,24103.061076354978,-9.313394949745145,0.6368915321937357,10.110339637845074,60.0% 0288.HK (Aggressive) + 30.0% 0005.HK (Conservative) + 10.0% 2318.HK (Conservative)
