Portfolio,Initial_Value,Final_Value,Total_Return_%,Annualized_Return_%,Max_Gain_%,Max_Loss_%,Max_Drawdown_%,Volatility_%,Sharpe_Ratio,Trading_Days
Benchmark (2800.HK),100000.0,101965.77490104813,1.9657749010481347,0.653253851649005,2.219663898340572,-0.23335408034935246,-1.4141465942727713,0.9689301161931877,0.6955723019737642,734
Conservative Portfolio,100000.0,99921.48994112015,-0.0785100588798523,-0.026242723967595527,0.0,-0.09210008382797241,-0.09210008382797241,0.031574107041014585,-0.8538642508586441,735
Aggressive Portfolio,100000.0,99847.42012047768,-0.1525798795223236,-0.051013845838354666,0.08950025248527527,-0.43449977850914007,-0.5235314690078134,0.29901524164188686,-0.17382994380045813,735
