Strategy,Ticker,Initial_Capital,Final_Value,Return_pct,Max_Drawdown_pct,Total_Trades,Win_Rate
Conservative,3690.HK,20000.0,19926.09999847412,-0.36950000762939456,-0.36950000762939456,10,10.0
Aggressive,3690.HK,20000.0,19843.00005340576,-0.7849997329711913,-1.3021360728258593,53,33.9622641509434
