,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2022-11-30,BUY,163.60000610351562,3,19509.199981689453,3,"Aggressive Entry: MACD, ML_bullish",,
1,2022-12-21,SELL,174.1999969482422,3,20031.79997253418,0,MACD Bearish Crossover,31.799972534179688,6.479211766055538
2,2022-12-22,BUY,186.1999969482422,3,19473.199981689453,3,"Aggressive Entry: Trend, MACD, ML_bullish",,
3,2022-12-30,SELL,174.6999969482422,3,19997.29997253418,0,Stop Loss,-34.5,-6.176154773620454
4,2023-01-03,BUY,176.8000030517578,3,19466.899963378906,3,"Aggressive Entry: Trend, ML_bullish",,
5,2023-01-10,SELL,178.5,3,20002.399963378906,0,Trailing Stop,5.0999908447265625,0.9615367188339454
6,2023-01-11,BUY,174.0,3,19480.399963378906,3,"Aggressive Entry: Trend, BB_oversold, ML_bullish",,
7,2023-01-12,SELL,173.0,3,19999.399963378906,0,Trailing Stop,-3.0,-0.5747126436781609
8,2023-01-13,BUY,171.1999969482422,3,19485.79997253418,3,"Aggressive Entry: Trend, BB_oversold, ML_bullish",,
9,2023-01-16,SELL,165.60000610351562,3,19982.599990844727,0,Stop Loss,-16.799972534179688,-3.271022747984962
10,2023-01-17,BUY,164.8000030517578,3,19488.199981689453,3,"Aggressive Entry: RSI_oversold, ML_bullish",,
11,2023-01-18,SELL,163.60000610351562,3,19979.0,0,Trailing Stop,-3.5999908447265625,-0.728153474527128
12,2023-01-27,BUY,174.89999389648438,3,19454.300018310547,3,"Aggressive Entry: Trend, ML_bullish",,
13,2023-01-30,SELL,173.5,3,19974.800018310547,0,Trailing Stop,-4.199981689453125,-0.8004539424472306
14,2023-01-31,BUY,174.60000610351562,3,19451.0,3,"Aggressive Entry: Trend, ML_bullish",,
15,2023-02-03,SELL,172.8000030517578,3,19969.400009155273,0,Trailing Stop,-5.4000091552734375,-1.030929546869912
16,2023-02-06,BUY,164.10000610351562,3,19477.099990844727,3,"Aggressive Entry: RSI_oversold, ML_bullish",,
17,2023-02-07,SELL,163.6999969482422,3,19968.199981689453,0,Trailing Stop,-1.2000274658203125,-0.2437593786688274
18,2023-07-31,BUY,146.3000030517578,4,19382.999969482422,4,"Aggressive Entry: Trend, ML_bullish",,
19,2023-08-02,SELL,140.6999969482422,4,19945.79995727539,0,Stop Loss,-22.4000244140625,-3.8277552882445685
20,2023-08-07,BUY,144.6999969482422,4,19366.999969482422,4,"Aggressive Entry: Trend, ML_bullish",,
21,2023-08-08,SELL,140.10000610351562,4,19927.399993896484,0,Stop Loss,-18.39996337890625,-3.178984755868333
22,2023-08-18,BUY,129.89999389648438,4,19407.800018310547,4,"Aggressive Entry: RSI_oversold, ML_bullish",,
23,2023-08-21,SELL,127.0,4,19915.800018310547,0,Trailing Stop,-11.5999755859375,-2.2324819343681748
