,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2022-12-22,BUY,186.1999969482422,1,19813.800003051758,1,"Conservative Entry: Trend, MACD, ML_bullish",,
1,2022-12-30,SELL,174.6999969482422,1,19988.5,0,Stop Loss,-11.5,-6.176154773620454
2,2023-02-01,BUY,180.10000610351562,1,19808.399993896484,1,"Conservative Entry: Trend, MACD, ML_bullish",,
3,2023-02-06,SELL,164.10000610351562,1,19972.5,0,Stop Loss,-16.0,-8.883953058171313
4,2024-04-24,BUY,113.5999984741211,1,19858.90000152588,1,"Conservative Entry: Trend, MACD, ML_bullish",,
5,2024-04-26,SELL,115.5999984741211,1,19974.5,0,Take Profit (RSI>70 + BB_upper),2.0,1.7605634039296354
6,2024-05-30,BUY,108.9000015258789,1,19865.59999847412,1,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
7,2024-05-31,SELL,105.0999984741211,1,19970.699996948242,0,Trailing Stop,-3.8000030517578125,-3.4894426065318127
8,2024-06-19,BUY,121.4000015258789,1,19849.299995422363,1,"Conservative Entry: Trend, MACD, ML_bullish",,
9,2024-06-27,SELL,113.69999694824219,1,19962.999992370605,0,Stop Loss,-7.700004577636719,-6.342672554246471
10,2024-07-04,BUY,119.69999694824219,1,19843.299995422363,1,"Conservative Entry: Trend, MACD, ML_bullish",,
11,2024-07-09,SELL,114.69999694824219,1,19957.999992370605,0,Trailing Stop,-5.0,-4.177109546762963
12,2024-07-12,BUY,121.80000305175781,1,19836.199989318848,1,"Conservative Entry: Trend, MACD, ML_bullish",,
13,2024-07-24,SELL,113.30000305175781,1,19949.499992370605,0,Stop Loss,-8.5,-6.9786533555241395
14,2024-11-14,BUY,169.3000030517578,1,19780.199989318848,1,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
15,2024-11-22,SELL,167.10000610351562,1,19947.299995422363,0,Trailing Stop,-2.1999969482421875,-1.2994665732933341
16,2025-03-06,BUY,180.3000030517578,1,19766.999992370605,1,"Conservative Entry: Trend, MACD, ML_bullish",,
17,2025-03-12,SELL,168.3000030517578,1,19935.299995422363,0,Stop Loss,-12.0,-6.655573930608987
18,2025-03-18,BUY,177.3000030517578,1,19757.999992370605,1,"Conservative Entry: Trend, MACD, ML_bullish",,
19,2025-03-20,SELL,168.10000610351562,1,19926.09999847412,0,Stop Loss,-9.199996948242188,-5.188943479914382
