Next Price,Date,index,Random Forest,Fold,Close,20-SMA Change
continuous,time,continuous,continuous,discrete,continuous,continuous
class,meta,meta,meta,meta,,
27.1641,2022-10-27 00:00:00,1233,27.8776,1,28.2105,-0.102649
26.2851,2022-10-28 00:00:00,1234,27.8776,1,27.1641,-0.129093
27.4989,2022-10-31 00:00:00,1235,27.8776,1,26.2851,-0.148359
27.8756,2022-11-01 00:00:00,1236,27.8776,1,27.4989,-0.103378
26.7037,2022-11-02 00:00:00,1237,27.8776,1,27.8756,-0.0813159
29.0057,2022-11-03 00:00:00,1238,27.8776,1,26.7037,-0.108876
30.8055,2022-11-04 00:00:00,1239,27.8776,1,29.0057,-0.0245619
30.2195,2022-11-07 00:00:00,1240,29.3504,1,30.8055,0.0396948
29.6754,2022-11-08 00:00:00,1241,29.3504,1,30.2195,0.02317
29.0894,2022-11-09 00:00:00,1242,28.5133,1,29.6754,0.00961203
33.0238,2022-11-10 00:00:00,1243,27.8776,1,29.0894,-0.00572251
35.0747,2022-11-11 00:00:00,1244,32.2992,1,33.0238,0.12666
36.9582,2022-11-14 00:00:00,1245,35.711,1,35.0747,0.190425
37.2093,2022-11-15 00:00:00,1246,37.8889,1,36.9582,0.244363
36.9163,2022-11-16 00:00:00,1247,37.5095,1,37.2093,0.240407
35.5351,2022-11-17 00:00:00,1248,37.8665,1,36.9163,0.219074
34.4469,2022-11-18 00:00:00,1249,35.4925,1,35.5351,0.164369
34.6143,2022-11-21 00:00:00,1250,33.379,1,34.4469,0.115857
34.991,2022-11-22 00:00:00,1251,33.379,1,34.6143,0.108802
35.6188,2022-11-23 00:00:00,1252,35.711,1,34.991,0.108533
36.7071,2022-11-24 00:00:00,1253,35.5107,1,35.6188,0.115334
35.0329,2022-11-25 00:00:00,1254,37.4705,1,36.7071,0.13249
39.5532,2022-11-28 00:00:00,1255,35.711,1,35.0329,0.0664456
39.9718,2022-11-29 00:00:00,1256,38.7986,1,39.5532,0.182359
39.8044,2022-11-30 00:00:00,1257,38.9131,1,39.9718,0.173651
39.1765,2022-12-01 00:00:00,1258,38.9131,1,39.8044,0.146681
44.3247,2022-12-02 00:00:00,1259,38.3956,1,39.1765,0.112299
43.2365,2022-12-05 00:00:00,1260,44.5694,1,44.3247,0.23477
41.1019,2022-12-06 00:00:00,1261,42.4898,1,43.2365,0.183005
43.0691,2022-12-07 00:00:00,1262,41.0856,1,41.1019,0.10729
44.1573,2022-12-08 00:00:00,1263,42.825,1,43.0691,0.138841
42.1483,2022-12-09 00:00:00,1264,44.4821,1,44.1573,0.150679
42.6505,2022-12-12 00:00:00,1265,42.2838,1,42.1483,0.0882957
