Next Price,Date,index,Random Forest,Fold,Close,20-SMA Change
continuous,time,continuous,continuous,discrete,continuous,continuous
class,meta,meta,meta,meta,,
121.8,2022-10-27 00:00:00,1233,134.585,1,131.8,-0.126197
124.8,2022-10-28 00:00:00,1234,125.102,1,121.8,-0.179328
139.6,2022-10-31 00:00:00,1235,132.567,1,124.8,-0.147395
146.7,2022-11-01 00:00:00,1236,146.88,1,139.6,-0.0390307
141.5,2022-11-02 00:00:00,1237,151.081,1,146.7,0.0197414
149.5,2022-11-03 00:00:00,1238,149.023,1,141.5,-0.00408221
153,2022-11-04 00:00:00,1239,158.529,1,149.5,0.0609609
148.8,2022-11-07 00:00:00,1240,158.448,1,153,0.0890067
144.3,2022-11-08 00:00:00,1241,160.892,1,148.8,0.0600933
141.9,2022-11-09 00:00:00,1242,144.405,1,144.3,0.0302728
159.6,2022-11-10 00:00:00,1243,144.578,1,141.9,0.0146222
156.5,2022-11-11 00:00:00,1244,162.94,1,159.6,0.136874
166.4,2022-11-14 00:00:00,1245,159.644,1,156.5,0.112098
162.3,2022-11-15 00:00:00,1246,161.017,1,166.4,0.177261
153,2022-11-16 00:00:00,1247,168.29,1,162.3,0.141069
160.4,2022-11-17 00:00:00,1248,158.058,1,153,0.071091
152.5,2022-11-18 00:00:00,1249,162.617,1,160.4,0.115554
139.9,2022-11-21 00:00:00,1250,156.462,1,152.5,0.0489751
138.4,2022-11-22 00:00:00,1251,147.468,1,139.9,-0.0430917
138.9,2022-11-23 00:00:00,1252,146.871,1,138.4,-0.0561599
136.6,2022-11-24 00:00:00,1253,145.155,1,138.9,-0.0550378
139.4,2022-11-25 00:00:00,1254,138.248,1,136.6,-0.0753401
155.4,2022-11-28 00:00:00,1255,145.155,1,139.4,-0.0610266
163.6,2022-11-29 00:00:00,1256,155.054,1,155.4,0.041206
163,2022-11-30 00:00:00,1257,173.368,1,163.6,0.0899764
168,2022-12-01 00:00:00,1258,173.368,1,163,0.0782563
174.3,2022-12-02 00:00:00,1259,165.735,1,168,0.104573
173.8,2022-12-05 00:00:00,1260,172.148,1,174.3,0.138026
167.5,2022-12-06 00:00:00,1261,171.666,1,173.8,0.125575
178.3,2022-12-07 00:00:00,1262,163.883,1,167.5,0.0766857
188.5,2022-12-08 00:00:00,1263,180.301,1,178.3,0.132855
175.4,2022-12-09 00:00:00,1264,192.179,1,188.5,0.186766
179,2022-12-12 00:00:00,1265,175.459,1,175.4,0.0977594
182.8,2022-12-13 00:00:00,1266,181.284,1,179,0.115891
176.8,2022-12-14 00:00:00,1267,183.571,1,182.8,0.132344
175.9,2022-12-15 00:00:00,1268,179.904,1,176.8,0.0871637
