,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2022-10-27,BUY,32.563262939453125,92,97004.17980957031,92,"Aggressive Entry: RSI_oversold, ML_bullish",,
1,2022-10-28,SELL,32.04320526123047,92,99952.15469360352,0,Trailing Stop,-47.845306396484375,-1.5970686942203285
2,2022-10-31,BUY,32.203224182128906,93,96957.25484466553,93,"Aggressive Entry: RSI_oversold, ML_bullish",,
3,2022-11-01,SELL,32.843284606933594,93,100011.68031311035,0,ML Bearish Signal,59.52561950683594,1.9875662796518596
4,2022-11-03,BUY,32.243228912353516,93,97013.06002426147,93,"Aggressive Entry: RSI_oversold, ML_bullish",,
5,2022-11-04,SELL,33.16332244873047,93,100097.24901199341,0,ML Bearish Signal,85.56869888305664,2.8536023450940204
