,Date,Portfolio_Value,Capital,Position_Value,Shares,Peak,Drawdown
0,2022-10-27,20000.0,20000.0,0.0,0,20000.0,0.0
1,2022-10-28,20000.0,20000.0,0.0,0,20000.0,0.0
2,2022-10-31,20000.0,20000.0,0.0,0,20000.0,0.0
3,2022-11-01,20000.0,20000.0,0.0,0,20000.0,0.0
4,2022-11-02,20000.0,20000.0,0.0,0,20000.0,0.0
5,2022-11-03,20000.0,20000.0,0.0,0,20000.0,0.0
6,2022-11-04,20000.0,20000.0,0.0,0,20000.0,0.0
7,2022-11-07,20000.0,20000.0,0.0,0,20000.0,0.0
8,2022-11-08,20000.0,20000.0,0.0,0,20000.0,0.0
9,2022-11-09,20000.0,20000.0,0.0,0,20000.0,0.0
10,2022-11-10,20000.0,20000.0,0.0,0,20000.0,0.0
11,2022-11-11,20000.0,20000.0,0.0,0,20000.0,0.0
12,2022-11-14,20000.0,20000.0,0.0,0,20000.0,0.0
13,2022-11-15,20000.0,20000.0,0.0,0,20000.0,0.0
14,2022-11-16,20000.0,20000.0,0.0,0,20000.0,0.0
15,2022-11-17,20000.0,20000.0,0.0,0,20000.0,0.0
16,2022-11-18,20000.0,20000.0,0.0,0,20000.0,0.0
17,2022-11-21,20000.0,20000.0,0.0,0,20000.0,0.0
18,2022-11-22,20000.0,20000.0,0.0,0,20000.0,0.0
19,2022-11-23,20000.0,20000.0,0.0,0,20000.0,0.0
20,2022-11-24,20000.0,20000.0,0.0,0,20000.0,0.0
21,2022-11-25,20000.0,20000.0,0.0,0,20000.0,0.0
22,2022-11-28,20000.0,20000.0,0.0,0,20000.0,0.0
23,2022-11-29,20000.0,20000.0,0.0,0,20000.0,0.0
24,2022-11-30,20000.0,20000.0,0.0,0,20000.0,0.0
25,2022-12-01,20000.0,20000.0,0.0,0,20000.0,0.0
26,2022-12-02,20000.0,20000.0,0.0,0,20000.0,0.0
27,2022-12-05,20000.0,20000.0,0.0,0,20000.0,0.0
28,2022-12-06,20000.0,20000.0,0.0,0,20000.0,0.0
29,2022-12-07,20000.0,20000.0,0.0,0,20000.0,0.0
30,2022-12-08,20000.0,20000.0,0.0,0,20000.0,0.0
31,2022-12-09,20000.0,20000.0,0.0,0,20000.0,0.0
32,2022-12-12,20000.0,20000.0,0.0,0,20000.0,0.0
33,2022-12-13,20000.0,20000.0,0.0,0,20000.0,0.0
34,2022-12-14,20000.0,20000.0,0.0,0,20000.0,0.0
35,2022-12-15,20000.0,20000.0,0.0,0,20000.0,0.0
36,2022-12-16,20000.0,20000.0,0.0,0,20000.0,0.0
37,2022-12-19,20000.0,20000.0,0.0,0,20000.0,0.0
38,2022-12-20,20000.0,20000.0,0.0,0,20000.0,0.0
39,2022-12-21,20000.0,20000.0,0.0,0,20000.0,0.0
40,2022-12-22,20000.0,20000.0,0.0,0,20000.0,0.0
41,2022-12-23,19996.400009155273,19421.599990844727,574.8000183105469,12,20000.0,-0.017999954223632812
42,2022-12-28,19996.400009155273,19996.400009155273,0.0,0,20000.0,-0.017999954223632812
43,2022-12-29,19995.20002746582,19414.400009155273,580.8000183105469,12,20000.0,-0.023999862670898438
44,2022-12-30,19995.20002746582,19995.20002746582,0.0,0,20000.0,-0.023999862670898438
45,2023-01-03,19997.000045776367,19412.600036621094,584.4000091552734,12,20000.0,-0.014999771118164062
46,2023-01-04,19997.000045776367,19997.000045776367,0.0,0,20000.0,-0.014999771118164062
47,2023-01-05,20010.750045776367,19447.000045776367,563.75,11,20010.750045776367,0.0
48,2023-01-06,20010.750045776367,20010.750045776367,0.0,0,20010.750045776367,0.0
49,2023-01-09,20022.8500289917,19436.550037384033,586.299991607666,11,20022.8500289917,0.0
50,2023-01-10,20022.8500289917,20022.8500289917,0.0,0,20022.8500289917,0.0
51,2023-01-11,20026.7000541687,19436.550037384033,590.150016784668,11,20026.7000541687,0.0
52,2023-01-12,20026.7000541687,20026.7000541687,0.0,0,20026.7000541687,0.0
53,2023-01-13,20042.10007095337,19431.60007095337,610.5,11,20042.10007095337,0.0
54,2023-01-16,20042.10007095337,20042.10007095337,0.0,0,20042.10007095337,0.0
55,2023-01-17,20042.10007095337,19475.60005569458,566.5000152587891,10,20042.10007095337,0.0
56,2023-01-18,20042.10007095337,20042.10007095337,0.0,0,20042.10007095337,0.0
57,2023-01-19,20040.600093841553,19474.100078582764,566.5000152587891,10,20042.10007095337,-0.007484131435858333
58,2023-01-20,20040.600093841553,20040.600093841553,0.0,0,20042.10007095337,-0.007484131435858333
59,2023-01-26,20050.600093841553,19471.600078582764,579.0000152587891,10,20050.600093841553,0.0
60,2023-01-27,20050.600093841553,20050.600093841553,0.0,0,20050.600093841553,0.0
61,2023-01-30,20049.60007095337,19471.10008621216,578.4999847412109,10,20050.600093841553,-0.004987496052503416
62,2023-01-31,20049.60007095337,20049.60007095337,0.0,0,20050.600093841553,-0.004987496052503416
63,2023-02-01,20040.60005569458,19470.100063323975,570.4999923706055,10,20050.600093841553,-0.04987400925742926
64,2023-02-02,20040.60005569458,20040.60005569458,0.0,0,20050.600093841553,-0.04987400925742926
65,2023-02-03,20023.10005569458,19464.10004043579,559.0000152587891,10,20050.600093841553,-0.13715319251426875
66,2023-02-06,20023.10005569458,20023.10005569458,0.0,0,20050.600093841553,-0.13715319251426875
67,2023-02-07,20023.10005569458,19457.10007095337,565.9999847412109,10,20050.600093841553,-0.13715319251426875
68,2023-02-08,20023.10005569458,20023.10005569458,0.0,0,20050.600093841553,-0.13715319251426875
69,2023-02-09,20025.100063323975,19445.100063323975,580.0,10,20050.600093841553,-0.12717839066278291
70,2023-02-10,20025.100063323975,20025.100063323975,0.0,0,20050.600093841553,-0.12717839066278291
71,2023-02-13,20022.600063323975,19445.100063323975,577.5,10,20050.600093841553,-0.13964684541376
72,2023-02-14,20022.600063323975,20022.600063323975,0.0,0,20050.600093841553,-0.13964684541376
73,2023-02-15,20016.100048065186,19440.60005569458,575.4999923706055,10,20050.600093841553,-0.17206490386770876
74,2023-02-16,20016.100048065186,20016.100048065186,0.0,0,20050.600093841553,-0.17206490386770876
75,2023-02-17,20017.10007095337,19435.100063323975,582.0000076293945,10,20050.600093841553,-0.16707740781520533
76,2023-02-20,20017.10007095337,20017.10007095337,0.0,0,20050.600093841553,-0.16707740781520533
77,2023-02-21,20005.60005569458,19429.60007095337,575.9999847412109,10,20050.600093841553,-0.22443237577110825
78,2023-02-22,20005.60005569458,20005.60005569458,0.0,0,20050.600093841553,-0.22443237577110825
79,2023-02-23,19993.90002822876,19459.75004196167,534.1499862670898,9,20050.600093841553,-0.282784880988216
80,2023-02-24,19993.90002822876,19993.90002822876,0.0,0,20050.600093841553,-0.282784880988216
81,2023-02-27,19988.90002822876,19398.400035858154,590.4999923706055,10,20050.600093841553,-0.3077217904901702
82,2023-02-28,19988.90002822876,19988.90002822876,0.0,0,20050.600093841553,-0.3077217904901702
83,2023-03-01,19998.400035858154,19395.900035858154,602.5,10,20050.600093841553,-0.26034162438575315
84,2023-03-02,19998.400035858154,19998.400035858154,0.0,0,20050.600093841553,-0.26034162438575315
85,2023-03-03,19995.900035858154,19415.900035858154,580.0,10,20050.600093841553,-0.27281007913673017
86,2023-03-06,19995.900035858154,19995.900035858154,0.0,0,20050.600093841553,-0.27281007913673017
87,2023-03-07,19998.400035858154,19414.400020599365,584.0000152587891,10,20050.600093841553,-0.26034162438575315
88,2023-03-08,19998.400035858154,19998.400035858154,0.0,0,20050.600093841553,-0.26034162438575315
89,2023-03-09,20004.400020599365,19418.90002822876,585.4999923706055,10,20050.600093841553,-0.23041740908481653
90,2023-03-10,20004.400020599365,20004.400020599365,0.0,0,20050.600093841553,-0.23041740908481653
91,2023-03-13,20003.39999771118,19440.400005340576,562.9999923706055,10,20050.600093841553,-0.23540490513731996
92,2023-03-14,20003.39999771118,20003.39999771118,0.0,0,20050.600093841553,-0.23540490513731996
93,2023-03-15,20020.449989318848,19413.249980926514,607.200008392334,11,20050.600093841553,-0.15037008559143095
94,2023-03-16,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
95,2023-03-17,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
96,2023-03-20,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
97,2023-03-21,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
98,2023-03-22,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
99,2023-03-23,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
100,2023-03-24,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
101,2023-03-27,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
102,2023-03-28,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
103,2023-03-29,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
104,2023-03-30,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
105,2023-03-31,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
106,2023-04-03,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
107,2023-04-04,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
108,2023-04-06,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
109,2023-04-11,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
110,2023-04-12,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
111,2023-04-13,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
112,2023-04-14,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
113,2023-04-17,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
114,2023-04-18,20020.449989318848,20020.449989318848,0.0,0,20050.600093841553,-0.15037008559143095
115,2023-04-19,20015.449989318848,19456.950004577637,558.4999847412109,10,20050.600093841553,-0.1753069950933851
116,2023-04-20,20015.449989318848,20015.449989318848,0.0,0,20050.600093841553,-0.1753069950933851
117,2023-04-21,20011.45001220703,19451.950004577637,559.5000076293945,10,20050.600093841553,-0.19525640854283582
118,2023-04-24,20011.45001220703,20011.45001220703,0.0,0,20050.600093841553,-0.19525640854283582
119,2023-04-25,20011.45001220703,20011.45001220703,0.0,0,20050.600093841553,-0.19525640854283582
120,2023-04-26,20011.45001220703,20011.45001220703,0.0,0,20050.600093841553,-0.19525640854283582
121,2023-04-27,20011.45001220703,20011.45001220703,0.0,0,20050.600093841553,-0.19525640854283582
122,2023-04-28,20011.45001220703,20011.45001220703,0.0,0,20050.600093841553,-0.19525640854283582
123,2023-05-02,20036.45001220703,19449.949996948242,586.5000152587891,10,20050.600093841553,-0.07057186103306512
124,2023-05-03,20036.45001220703,20036.45001220703,0.0,0,20050.600093841553,-0.07057186103306512
125,2023-05-04,20034.45004272461,19447.95002746582,586.5000152587891,10,20050.600093841553,-0.08054647263102999
126,2023-05-05,20034.45004272461,20034.45004272461,0.0,0,20050.600093841553,-0.08054647263102999
127,2023-05-08,20044.950035095215,19449.950035095215,595.0,10,20050.600093841553,-0.02817900072763049
128,2023-05-09,20044.950035095215,20044.950035095215,0.0,0,20050.600093841553,-0.02817900072763049
129,2023-05-10,20045.45002746582,19451.95004272461,593.4999847412109,10,20050.600093841553,-0.02568534782813927
130,2023-05-11,20045.45002746582,20045.45002746582,0.0,0,20050.600093841553,-0.02568534782813927
131,2023-05-12,20043.450019836426,19455.950019836426,587.5,10,20050.600093841553,-0.03566014967962512
132,2023-05-15,20043.450019836426,20043.450019836426,0.0,0,20050.600093841553,-0.03566014967962512
133,2023-05-16,20047.95002746582,19450.950019836426,597.0000076293945,10,20050.600093841553,-0.013216893077162199
134,2023-05-17,20047.95002746582,20047.95002746582,0.0,0,20050.600093841553,-0.013216893077162199
135,2023-05-18,20055.950019836426,19461.45001220703,594.5000076293945,10,20055.950019836426,0.0
136,2023-05-19,20055.950019836426,20055.950019836426,0.0,0,20055.950019836426,0.0
137,2023-05-22,20058.95001220703,19461.45001220703,597.5,10,20058.95001220703,0.0
138,2023-05-23,20058.95001220703,20058.95001220703,0.0,0,20058.95001220703,0.0
139,2023-05-24,20055.45002746582,19462.95002746582,592.5,10,20058.95001220703,-0.017448494258577814
140,2023-05-25,20055.45002746582,20055.45002746582,0.0,0,20058.95001220703,-0.017448494258577814
141,2023-05-29,20059.45004272461,19471.95004272461,587.5,10,20059.45004272461,0.0
142,2023-05-30,20059.45004272461,20059.45004272461,0.0,0,20059.45004272461,0.0
143,2023-05-31,20047.950065612793,19470.9500579834,577.0000076293945,10,20059.45004272461,-0.0573294735764072
144,2023-06-01,20047.950065612793,20047.950065612793,0.0,0,20059.45004272461,-0.0573294735764072
145,2023-06-02,20056.450088500977,19474.450080871582,582.0000076293945,10,20059.45004272461,-0.014955316408192709
146,2023-06-05,20056.450088500977,20056.450088500977,0.0,0,20059.45004272461,-0.014955316408192709
147,2023-06-06,20055.450065612793,19464.950073242188,590.4999923706055,10,20059.45004272461,-0.019940612047174063
148,2023-06-07,20055.450065612793,20055.450065612793,0.0,0,20059.45004272461,-0.019940612047174063
149,2023-06-08,20058.4500579834,19458.950050354004,599.5000076293945,10,20059.45004272461,-0.004985105469397569
150,2023-06-09,20058.4500579834,20058.4500579834,0.0,0,20059.45004272461,-0.004985105469397569
151,2023-06-12,20058.4500579834,19458.4500579834,600.0,10,20059.45004272461,-0.004985105469397569
152,2023-06-13,20058.4500579834,20058.4500579834,0.0,0,20059.45004272461,-0.004985105469397569
153,2023-06-14,20059.950035095215,19459.45004272461,600.4999923706055,10,20059.950035095215,0.0
154,2023-06-15,20059.950035095215,20059.950035095215,0.0,0,20059.950035095215,0.0
155,2023-06-16,20069.45004272461,19459.45004272461,610.0,10,20069.45004272461,0.0
156,2023-06-19,20069.45004272461,20069.45004272461,0.0,0,20069.45004272461,0.0
157,2023-06-20,20070.3500289917,19516.8500289917,553.5,9,20070.3500289917,0.0
158,2023-06-21,20070.3500289917,20070.3500289917,0.0,0,20070.3500289917,0.0
159,2023-06-23,20056.400035858154,19518.650035858154,537.75,9,20070.3500289917,-0.06950548004092655
160,2023-06-26,20056.400035858154,20056.400035858154,0.0,0,20070.3500289917,-0.06950548004092655
161,2023-06-27,20065.400051116943,19460.400051116943,605.0,10,20070.3500289917,-0.024663136754494053
