,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2022-12-05,BUY,52.95000076293945,11,19417.549991607666,11,"Aggressive Entry: Trend, ML_bullish",,
1,2022-12-07,SELL,49.099998474121094,11,19957.649974822998,0,Stop Loss,-42.35002517700195,-7.271014604995128
2,2022-12-08,BUY,51.45000076293945,11,19391.699966430664,11,"Aggressive Entry: Trend, ML_bullish",,
3,2022-12-15,SELL,49.900001525878906,11,19940.599983215332,0,Stop Loss,-17.049991607666016,-3.0126320973294227
4,2022-12-16,BUY,51.0,11,19379.599983215332,11,"Aggressive Entry: Trend, ML_bullish",,
5,2022-12-20,SELL,49.099998474121094,11,19919.699966430664,0,Stop Loss,-20.90001678466797,-3.7254931879978552
6,2022-12-21,BUY,49.849998474121094,11,19371.349983215332,11,"Aggressive Entry: Trend, ML_bullish",,
7,2023-01-06,SELL,56.349998474121094,11,19991.199966430664,0,Take Profit (RSI>70),71.5,13.039117751175821
8,2023-01-09,BUY,58.54999923706055,10,19405.69997406006,10,"Aggressive Entry: Trend, ML_bullish",,
9,2023-01-10,SELL,56.75,10,19973.19997406006,0,Stop Loss,-17.99999237060547,-3.074294210957387
10,2023-01-11,BUY,58.75,10,19385.69997406006,10,"Aggressive Entry: Trend, ML_bullish",,
11,2023-01-12,SELL,60.0,10,19985.69997406006,0,Take Profit (RSI>70),12.5,2.127659574468085
12,2023-01-13,BUY,62.150001525878906,9,19426.34996032715,9,"Aggressive Entry: Trend, ML_bullish",,
13,2023-01-16,SELL,60.79999923706055,9,19973.549953460693,0,Take Profit (RSI>70),-12.150020599365234,-2.1721677484693642
14,2023-01-17,BUY,59.349998474121094,10,19380.049968719482,10,"Aggressive Entry: Trend, ML_bullish",,
15,2023-01-20,SELL,62.150001525878906,10,20001.54998397827,0,Take Profit (RSI>70),28.000030517578125,4.717781168905544
16,2023-01-26,BUY,64.75,9,19418.79998397827,9,"Aggressive Entry: Trend, ML_bullish",,
17,2023-01-27,SELL,64.19999694824219,9,19996.59995651245,0,Take Profit (RSI>70),-4.9500274658203125,-0.8494255625603282
18,2023-01-30,BUY,60.900001525878906,9,19448.49994277954,9,"Aggressive Entry: Trend, ML_bullish",,
19,2023-01-31,SELL,60.70000076293945,9,19994.799949645996,0,MACD Bearish Crossover,-1.8000068664550781,-0.32840846950465935
20,2023-02-01,BUY,61.650001525878906,9,19439.949935913086,9,"Aggressive Entry: Trend, ML_bullish",,
21,2023-02-03,SELL,57.900001525878906,9,19961.049949645996,0,Stop Loss,-33.75,-6.082724910275724
22,2023-02-06,BUY,56.04999923706055,10,19400.54995727539,10,"Aggressive Entry: Trend, ML_bullish",,
23,2023-02-07,SELL,57.04999923706055,10,19971.049949645996,0,Trailing Stop,10.0,1.7841213445348183
24,2023-02-08,BUY,57.599998474121094,10,19395.049964904785,10,"Aggressive Entry: Trend, ML_bullish",,
25,2023-02-09,SELL,59.150001525878906,10,19986.549980163574,0,Trailing Stop,15.500030517578125,2.6909775916994305
26,2023-02-10,BUY,58.29999923706055,10,19403.54998779297,10,"Aggressive Entry: Trend, ML_bullish",,
27,2023-02-13,SELL,58.04999923706055,10,19984.049980163574,0,Trailing Stop,-2.5,-0.4288164721639966
28,2023-02-14,BUY,58.29999923706055,10,19401.04998779297,10,"Aggressive Entry: Trend, ML_bullish",,
29,2023-02-15,SELL,56.70000076293945,10,19968.049995422363,0,Trailing Stop,-15.999984741210938,-2.7444228045615406
30,2023-02-16,BUY,57.45000076293945,10,19393.54998779297,10,"Aggressive Entry: Trend, ML_bullish",,
31,2023-02-17,SELL,57.04999923706055,10,19964.049980163574,0,Trailing Stop,-4.0000152587890625,-0.6962602620833107
32,2023-02-20,BUY,58.04999923706055,10,19383.54998779297,10,"Aggressive Entry: Trend, ML_bullish",,
33,2023-02-21,SELL,57.349998474121094,10,19957.04997253418,0,Trailing Stop,-7.000007629394531,-1.2058583499387119
34,2023-02-22,BUY,55.599998474121094,10,19401.04998779297,10,"Aggressive Entry: RSI_oversold, ML_bullish",,
35,2023-02-23,SELL,55.900001525878906,10,19960.050003051758,0,Trailing Stop,3.000030517578125,0.5395738489047771
36,2023-03-02,BUY,56.900001525878906,10,19391.04998779297,10,"Aggressive Entry: Trend, ML_bullish",,
37,2023-03-03,SELL,57.20000076293945,10,19963.049995422363,0,ML Bearish Signal,2.9999923706054688,0.5272394183049417
38,2023-04-19,BUY,54.25,11,19366.299995422363,11,"Aggressive Entry: Trend, ML_bullish",,
39,2023-04-20,SELL,54.900001525878906,11,19970.20001220703,0,ML Bearish Signal,7.150016784667969,1.1981594947076613
40,2023-04-28,BUY,56.70000076293945,10,19403.200004577637,10,"Aggressive Entry: Trend, ML_bullish",,
41,2023-05-08,SELL,61.150001525878906,10,20014.700019836426,0,Take Profit (RSI>70),44.50000762939453,7.848325754958518
42,2023-05-09,BUY,58.75,10,19427.200019836426,10,"Aggressive Entry: Trend, ML_bullish",,
43,2023-05-12,SELL,55.900001525878906,10,19986.200035095215,0,Stop Loss,-28.499984741210938,-4.8510612325465425
44,2023-05-15,BUY,58.04999923706055,10,19405.70004272461,10,"Aggressive Entry: Trend, ML_bullish",,
45,2023-05-17,SELL,55.099998474121094,10,19956.70002746582,0,Stop Loss,-29.50000762939453,-5.0818273931278535
46,2023-05-18,BUY,56.29999923706055,10,19393.700035095215,10,"Aggressive Entry: Trend, ML_bullish",,
47,2023-05-19,SELL,54.75,10,19941.200035095215,0,Trailing Stop,-15.499992370605469,-2.7531070303109884
48,2023-05-22,BUY,54.95000076293945,10,19391.70002746582,10,"Aggressive Entry: Trend, ML_bullish",,
49,2023-05-23,SELL,53.04999923706055,10,19922.200019836426,0,Stop Loss,-19.000015258789062,-3.457691536849524
50,2023-06-13,BUY,53.849998474121094,11,19329.850036621094,11,"Aggressive Entry: Trend, ML_bullish",,
51,2023-06-14,SELL,51.29999923706055,11,19894.15002822876,0,Stop Loss,-28.049991607666016,-4.735374761962176
52,2023-07-26,BUY,52.400001525878906,11,19317.75001144409,11,"Aggressive Entry: Trend, ML_bullish",,
53,2023-08-10,SELL,52.900001525878906,11,19899.65002822876,0,MACD Bearish Crossover,5.5,0.9541984454963496
54,2024-03-12,BUY,37.650001525878906,15,19334.900005340576,15,"Aggressive Entry: MACD, ML_bullish",,
55,2024-03-14,SELL,36.349998474121094,15,19880.149982452393,0,Stop Loss,-19.500045776367188,-3.4528632113447575
