,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2023-11-30,BUY,5.019999980926514,39,19804.220000743866,39,"Conservative Entry: Trend, MACD, ML_bullish",,
1,2023-12-04,SELL,5.019999980926514,39,20000.0,0,Take Profit (RSI>70 + BB_upper),0.0,0.0
2,2023-12-19,BUY,5.010000228881836,39,19804.60999107361,39,"Conservative Entry: Trend, MACD, ML_bullish",,
3,2023-12-20,SELL,4.940000057220459,39,19997.269993305206,0,MACD Bearish Crossover,-2.730006694793701,-1.3972089513656578
4,2024-01-15,BUY,5.110000133514404,39,19797.979988098145,39,"Conservative Entry: Trend, MACD, ML_bullish",,
5,2024-01-17,SELL,4.880000114440918,39,19988.29999256134,0,MACD Bearish Crossover,-8.970000743865967,-4.5009787292374055
6,2024-04-09,BUY,5.440000057220459,36,19792.459990501404,36,"Conservative Entry: Trend, MACD, ML_bullish",,
7,2024-04-17,SELL,5.420000076293945,36,19987.579993247986,0,MACD Bearish Crossover,-0.7199993133544922,-0.3676467043408923
8,2024-04-23,BUY,5.800000190734863,34,19790.379986763,34,"Conservative Entry: Trend, MACD, ML_bullish",,
9,2024-05-03,SELL,5.659999847412109,34,19982.819981575012,0,MACD Bearish Crossover,-4.760011672973633,-2.4137989434275484
10,2024-05-06,BUY,5.869999885559082,34,19783.239985466003,34,"Conservative Entry: Trend, MACD, ML_bullish",,
11,2024-05-07,SELL,5.75,34,19978.739985466003,0,MACD Bearish Crossover,-4.079996109008789,-2.0442911055977437
12,2024-10-30,BUY,6.380000114440918,31,19780.959981918335,31,"Conservative Entry: Trend, MACD, ML_bullish",,
13,2024-10-31,SELL,6.059999942779541,31,19968.8199801445,0,Stop Loss,-9.920005321502686,-5.015676581839978
14,2024-11-19,BUY,6.340000152587891,31,19772.279975414276,31,"Conservative Entry: Trend, MACD, ML_bullish",,
15,2024-11-27,SELL,6.239999771118164,31,19965.71996831894,0,MACD Bearish Crossover,-3.1000118255615234,-1.5772930451572298
16,2024-12-05,BUY,6.369999885559082,31,19768.249971866608,31,"Conservative Entry: Trend, MACD, ML_bullish",,
17,2024-12-06,SELL,6.25,31,19961.999971866608,0,MACD Bearish Crossover,-3.719996452331543,-1.8838286925424312
18,2024-12-10,BUY,6.369999885559082,31,19764.529975414276,31,"Conservative Entry: Trend, MACD, ML_bullish",,
19,2024-12-18,SELL,6.329999923706055,31,19960.759973049164,0,MACD Bearish Crossover,-1.2399988174438477,-0.6279428975141438
20,2025-02-24,BUY,6.170000076293945,32,19763.319970607758,32,"Conservative Entry: Trend, MACD, ML_bullish",,
21,2025-03-05,SELL,6.739999771118164,32,19978.99996328354,0,Take Profit (RSI>70 + BB_upper),18.239990234375,9.23824453445701
22,2025-03-19,BUY,6.820000171661377,29,19781.21995830536,29,"Conservative Entry: Trend, MACD, ML_bullish",,
23,2025-03-20,SELL,6.78000020980835,29,19977.8399643898,0,MACD Bearish Crossover,-1.159998893737793,-0.5865096898272248
24,2025-03-28,BUY,7.0,28,19781.8399643898,28,"Conservative Entry: Trend, MACD, ML_bullish",,
25,2025-03-31,SELL,7.139999866485596,28,19981.759960651398,0,Take Profit (RSI>70 + BB_upper),3.9199962615966797,1.9999980926513672
26,2025-05-07,BUY,7.070000171661377,28,19783.79995584488,28,"Conservative Entry: Trend, MACD, ML_bullish",,
27,2025-05-12,SELL,6.840000152587891,28,19975.31996011734,0,MACD Bearish Crossover,-6.440000534057617,-3.2531826518957314
28,2025-05-23,BUY,7.110000133514404,28,19776.239956378937,28,"Conservative Entry: Trend, MACD, ML_bullish",,
29,2025-06-19,SELL,7.21999979019165,28,19978.399950504303,0,MACD Bearish Crossover,3.0799903869628906,1.5471118792071572
30,2025-07-02,BUY,7.599999904632568,26,19780.799952983856,26,"Conservative Entry: Trend, MACD, ML_bullish",,
31,2025-07-07,SELL,7.590000152587891,26,19978.13995695114,0,MACD Bearish Crossover,-0.2599935531616211,-0.1315756864494485
32,2025-07-16,BUY,7.730000019073486,25,19784.889956474304,25,"Conservative Entry: Trend, MACD, ML_bullish",,
33,2025-07-21,SELL,8.15999984741211,25,19988.889952659607,0,Take Profit (RSI>70 + BB_upper),10.749995708465576,5.562740327006656
34,2025-08-14,BUY,8.220000267028809,24,19791.609946250916,24,"Conservative Entry: Trend, MACD, ML_bullish",,
35,2025-08-15,SELL,8.050000190734863,24,19984.809950828552,0,MACD Bearish Crossover,-4.0800018310546875,-2.068127381647803
36,2025-08-20,BUY,8.279999732971191,24,19786.089957237244,24,"Conservative Entry: Trend, MACD, ML_bullish",,
37,2025-08-25,SELL,8.210000038146973,24,19983.12995815277,0,MACD Bearish Crossover,-1.67999267578125,-0.8454069695857356
38,2025-09-01,BUY,8.399999618530273,23,19789.929966926575,23,"Conservative Entry: Trend, MACD, ML_bullish",,
39,2025-09-08,SELL,8.390000343322754,23,19982.899974822998,0,MACD Bearish Crossover,-0.22998332977294922,-0.11903899597163409
40,2025-09-09,BUY,8.529999732971191,23,19786.70998096466,23,"Conservative Entry: Trend, MACD, ML_bullish",,
41,2025-09-11,SELL,8.880000114440918,23,19990.9499835968,0,Take Profit (RSI>70 + BB_upper),8.050008773803711,4.103169899488537
42,2025-10-03,BUY,8.329999923706055,23,19799.359985351562,23,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
43,2025-10-06,SELL,7.860000133514404,23,19980.139988422394,0,Stop Loss,-10.809995174407959,-5.642254435730479
